Subclass,Total_Count,Mean_Density,Mean_Coverage,Mean_Length,Mean_Score,Files_Present
Slipped_DNA_Z-DNA_Overlap,335,0.0003,0.0007,28.8837,1.0553,3
A-philic_DNA_Slipped_DNA_Overlap,323,0.0002,0.002,67.527,1.097,3
Curved_DNA_i-Motif_Overlap,257,0.0002,0.001,37.792,1.5133,3
i-Motif_Curved_DNA_Overlap,240,0.0001,0.0,32.208,1.511,1
Z-DNA_Slipped_DNA_Overlap,206,0.0004,0.0007,26.2413,1.027,3
Slipped_DNA_A-philic_DNA_Overlap,191,0.0004,0.001,51.4285,1.0955,2
A-philic_DNA_Triplex_Overlap,97,0.0,0.0,29.412,1.152,1
Triplex_A-philic_DNA_Overlap,96,0.0,0.0,29.312,1.148,1
Mixed_Cluster_8_classes,93,0.0,0.002,402.838,1.2305,2
R-Loop_Z-DNA_Overlap,78,0.0013,0.1643,1332.2797,1.6843,3
Z-DNA_R-Loop_Overlap,63,0.0014,0.2303,1601.7823,1.8243,3
Telomeric G4,28,0.0,0.0,120.429,1.597,1
Stacked G4,14,0.0,0.0,71.769,1.3125,2
Mixed_Cluster_9_classes,1,0.0,0.0,242.0,1.125,1
Z-DNA_i-Motif_Overlap,1,0.0,0.0,50.0,1.584,1
i-Motif_Z-DNA_Overlap,1,0.0,0.0,51.0,1.528,1
