Subclass,Count,Mean_Length,Mean_Score,Density_per_kb,Coverage_pct,Source_File
Two-tetrad weak PQS,9,18.889,1.004,0.0517,0.093,Candidatus Carsonella ruddii_genome.fna
Curved_DNA_Triplex_Overlap,6,26.167,1.187,0.0345,0.087,Candidatus Carsonella ruddii_genome.fna
Triplex_Curved_DNA_Overlap,4,28.25,1.217,0.023,0.063,Candidatus Carsonella ruddii_genome.fna
Mixed_Cluster_4_classes,3,242.333,1.133,0.0172,0.416,Candidatus Carsonella ruddii_genome.fna
Cruciform_Slipped_DNA_Overlap,2,35.0,1.051,0.0115,0.039,Candidatus Carsonella ruddii_genome.fna
R-loop formation sites,2,14.5,1.008,0.0115,0.016,Candidatus Carsonella ruddii_genome.fna
Curved_DNA_Slipped_DNA_Overlap,1,25.0,1.164,0.0057,0.014,Candidatus Carsonella ruddii_genome.fna
Intramolecular G-triplex,1,19.0,1.017,0.0057,0.01,Candidatus Carsonella ruddii_genome.fna
STR,1,20.0,1.024,0.0057,0.011,Candidatus Carsonella ruddii_genome.fna
Slipped_DNA_Curved_DNA_Overlap,1,28.0,1.133,0.0057,0.016,Candidatus Carsonella ruddii_genome.fna
Local Curvature,2406,9.236,1.194,5.3221,4.383,Buchnera aphidicola_genome.fna
Cruciform forming IRs,583,24.484,1.039,1.2896,3.028,Buchnera aphidicola_genome.fna
Global Curvature,265,26.875,1.248,0.5862,1.517,Buchnera aphidicola_genome.fna
Mixed_Cluster_3_classes,135,249.793,1.166,0.2986,7.047,Buchnera aphidicola_genome.fna
Triplex,126,26.492,1.219,0.2787,0.71,Buchnera aphidicola_genome.fna
Direct Repeat,79,24.329,1.05,0.1747,0.408,Buchnera aphidicola_genome.fna
Cruciform_Curved_DNA_Overlap,42,29.119,1.12,0.0929,0.26,Buchnera aphidicola_genome.fna
Mixed_Cluster_4_classes,40,253.525,1.226,0.0885,2.169,Buchnera aphidicola_genome.fna
Curved_DNA_Cruciform_Overlap,33,26.545,1.133,0.073,0.186,Buchnera aphidicola_genome.fna
Triplex_Curved_DNA_Overlap,26,28.269,1.212,0.0575,0.157,Buchnera aphidicola_genome.fna
STR,25,30.88,1.048,0.0553,0.165,Buchnera aphidicola_genome.fna
Curved_DNA_Triplex_Overlap,22,29.682,1.265,0.0487,0.14,Buchnera aphidicola_genome.fna
Two-tetrad weak PQS,15,21.0,1.003,0.0332,0.066,Buchnera aphidicola_genome.fna
Curved_DNA_Slipped_DNA_Overlap,9,24.778,1.128,0.0199,0.047,Buchnera aphidicola_genome.fna
Slipped_DNA_Curved_DNA_Overlap,7,25.857,1.111,0.0155,0.038,Buchnera aphidicola_genome.fna
Slipped_DNA_Triplex_Overlap,5,30.2,1.124,0.0111,0.032,Buchnera aphidicola_genome.fna
Slipped_DNA_Cruciform_Overlap,3,30.333,1.05,0.0066,0.019,Buchnera aphidicola_genome.fna
Triplex_Cruciform_Overlap,3,36.667,1.134,0.0066,0.024,Buchnera aphidicola_genome.fna
Cruciform_Slipped_DNA_Overlap,3,36.0,1.048,0.0066,0.023,Buchnera aphidicola_genome.fna
Triplex_Slipped_DNA_Overlap,2,34.0,1.124,0.0044,0.015,Buchnera aphidicola_genome.fna
Bulged G4,1,35.0,1.057,0.0022,0.008,Buchnera aphidicola_genome.fna
Mixed_Cluster_5_classes,1,320.0,1.191,0.0022,0.071,Buchnera aphidicola_genome.fna
R-loop formation sites,1,16.0,1.006,0.0022,0.003,Buchnera aphidicola_genome.fna
Sticky DNA,1,12.0,1.005,0.0022,0.002,Buchnera aphidicola_genome.fna
Cruciform_Triplex_Overlap,1,34.0,1.122,0.0022,0.007,Buchnera aphidicola_genome.fna
A-philic DNA,1,10.0,1.035,0.0022,0.002,Buchnera aphidicola_genome.fna
Cruciform forming IRs,879,24.742,1.064,0.3116,0.74,Staphylococcus aureus_genome.fna
Global Curvature,600,25.677,1.245,0.2127,0.525,Staphylococcus aureus_genome.fna
Two-tetrad weak PQS,337,21.136,1.002,0.1194,0.241,Staphylococcus aureus_genome.fna
Local Curvature,97,8.093,1.157,0.0344,0.024,Staphylococcus aureus_genome.fna
A-philic DNA,68,10.118,1.048,0.0241,0.022,Staphylococcus aureus_genome.fna
Direct Repeat,48,40.125,1.088,0.017,0.067,Staphylococcus aureus_genome.fna
R-loop formation sites,41,15.659,1.006,0.0145,0.021,Staphylococcus aureus_genome.fna
Mixed_Cluster_3_classes,19,185.105,1.071,0.0067,0.124,Staphylococcus aureus_genome.fna
Triplex,10,24.9,1.207,0.0035,0.008,Staphylococcus aureus_genome.fna
Z-DNA,7,11.714,1.06,0.0025,0.003,Staphylococcus aureus_genome.fna
Cruciform_Curved_DNA_Overlap,6,32.667,1.138,0.0021,0.007,Staphylococcus aureus_genome.fna
Sticky DNA,5,12.6,1.006,0.0018,0.002,Staphylococcus aureus_genome.fna
Curved_DNA_Cruciform_Overlap,5,38.2,1.206,0.0018,0.007,Staphylococcus aureus_genome.fna
Mixed_Cluster_4_classes,4,246.25,1.122,0.0014,0.035,Staphylococcus aureus_genome.fna
Slipped_DNA_Cruciform_Overlap,3,89.667,1.111,0.0011,0.009,Staphylococcus aureus_genome.fna
A-philic_DNA_R-Loop_Overlap,2,14.0,1.026,0.0007,0.001,Staphylococcus aureus_genome.fna
R-Loop_A-philic_DNA_Overlap,2,14.0,1.025,0.0007,0.001,Staphylococcus aureus_genome.fna
Intramolecular G-triplex,2,19.5,1.01,0.0007,0.001,Staphylococcus aureus_genome.fna
Bulged G4,2,26.5,1.018,0.0007,0.002,Staphylococcus aureus_genome.fna
Relaxed i-motif,1,28.0,1.584,0.0004,0.001,Staphylococcus aureus_genome.fna
G-Quadruplex_Slipped_DNA_Overlap,1,48.0,1.039,0.0004,0.002,Staphylococcus aureus_genome.fna
G-Quadruplex_Cruciform_Overlap,1,35.0,1.009,0.0004,0.001,Staphylococcus aureus_genome.fna
Two-tetrad weak PQS,995,20.892,1.003,0.4713,0.938,Streptococcus pneumoniae_genome.fna
Cruciform forming IRs,852,24.203,1.064,0.4036,0.936,Streptococcus pneumoniae_genome.fna
Global Curvature,410,25.749,1.232,0.1942,0.481,Streptococcus pneumoniae_genome.fna
Local Curvature,123,8.22,1.161,0.0583,0.042,Streptococcus pneumoniae_genome.fna
R-loop formation sites,114,16.746,1.006,0.054,0.085,Streptococcus pneumoniae_genome.fna
Direct Repeat,34,89.412,1.224,0.0161,0.142,Streptococcus pneumoniae_genome.fna
Mixed_Cluster_3_classes,19,235.526,1.079,0.009,0.203,Streptococcus pneumoniae_genome.fna
Intramolecular G-triplex,14,17.714,1.011,0.0066,0.011,Streptococcus pneumoniae_genome.fna
Z-DNA,10,11.3,1.051,0.0047,0.005,Streptococcus pneumoniae_genome.fna
Cruciform_Curved_DNA_Overlap,8,40.375,1.204,0.0038,0.015,Streptococcus pneumoniae_genome.fna
A-philic DNA,7,10.0,1.04,0.0033,0.003,Streptococcus pneumoniae_genome.fna
Curved_DNA_Cruciform_Overlap,5,42.2,1.184,0.0024,0.01,Streptococcus pneumoniae_genome.fna
Relaxed i-motif,5,36.0,1.687,0.0024,0.008,Streptococcus pneumoniae_genome.fna
Triplex,4,25.75,1.229,0.0019,0.005,Streptococcus pneumoniae_genome.fna
Extended-loop canonical,3,39.0,1.052,0.0014,0.005,Streptococcus pneumoniae_genome.fna
Bulged G4,2,30.5,1.014,0.0009,0.003,Streptococcus pneumoniae_genome.fna
Canonical i-motif,2,25.5,1.468,0.0009,0.002,Streptococcus pneumoniae_genome.fna
Cruciform_R-Loop_Overlap,1,26.0,1.03,0.0005,0.001,Streptococcus pneumoniae_genome.fna
Cruciform_G-Quadruplex_Overlap,1,32.0,1.068,0.0005,0.001,Streptococcus pneumoniae_genome.fna
Mixed_Cluster_4_classes,1,299.0,1.158,0.0005,0.014,Streptococcus pneumoniae_genome.fna
R-Loop_G-Quadruplex_Overlap,1,40.0,1.011,0.0005,0.002,Streptococcus pneumoniae_genome.fna
G-Quadruplex_Curved_DNA_Overlap,1,35.0,1.111,0.0005,0.002,Streptococcus pneumoniae_genome.fna
STR,1,21.0,1.024,0.0005,0.001,Streptococcus pneumoniae_genome.fna
Slipped_DNA_Cruciform_Overlap,1,182.0,1.237,0.0005,0.009,Streptococcus pneumoniae_genome.fna
Slipped_DNA_G-Quadruplex_Overlap,1,31.0,1.032,0.0005,0.001,Streptococcus pneumoniae_genome.fna
Sticky DNA,1,12.0,1.005,0.0005,0.001,Streptococcus pneumoniae_genome.fna
Two-tetrad weak PQS,5823,20.857,1.004,1.2545,2.491,Escherichia coli_genome.fna
Cruciform forming IRs,1830,24.332,1.088,0.3943,0.92,Escherichia coli_genome.fna
Z-DNA,892,11.068,1.043,0.1922,0.193,Escherichia coli_genome.fna
R-loop formation sites,783,115.323,1.103,0.1687,1.929,Escherichia coli_genome.fna
Global Curvature,297,25.515,1.247,0.064,0.157,Escherichia coli_genome.fna
Local Curvature,224,8.08,1.156,0.0483,0.034,Escherichia coli_genome.fna
Intramolecular G-triplex,144,16.84,1.012,0.031,0.049,Escherichia coli_genome.fna
Mixed_Cluster_3_classes,133,296.609,1.1,0.0287,0.845,Escherichia coli_genome.fna
Bulged G4,126,30.643,1.024,0.0271,0.08,Escherichia coli_genome.fna
Relaxed i-motif,82,33.366,1.634,0.0177,0.057,Escherichia coli_genome.fna
A-philic DNA,67,10.313,1.043,0.0144,0.013,Escherichia coli_genome.fna
