Subclass,Count,Mean_Length,Mean_Score,Density_per_kb,Coverage_pct,Source_File
A-philic_DNA_G-Quadruplex_Overlap,202,25.673,1.039,0.0599,0.148,Miltoncostaea marina_genome.fna
G-Quadruplex_A-philic_DNA_Overlap,193,26.254,1.039,0.0573,0.145,Miltoncostaea marina_genome.fna
G-Quadruplex_i-Motif_Overlap,184,44.614,1.451,0.0546,0.238,Miltoncostaea marina_genome.fna
G-Quadruplex_R-Loop_Overlap,178,1715.674,1.866,0.0528,9.051,Miltoncostaea marina_genome.fna
Cruciform_Z-DNA_Overlap,176,26.324,1.1,0.0522,0.132,Miltoncostaea marina_genome.fna
Z-DNA_Cruciform_Overlap,169,26.74,1.101,0.0501,0.129,Miltoncostaea marina_genome.fna
G-Quadruplex_Z-DNA_Overlap,143,26.986,1.033,0.0424,0.11,Miltoncostaea marina_genome.fna
Z-DNA_G-Quadruplex_Overlap,136,26.632,1.032,0.0404,0.103,Miltoncostaea marina_genome.fna
Direct Repeat,114,35.535,1.081,0.0338,0.117,Miltoncostaea marina_genome.fna
Mixed_Cluster_6_classes,94,1606.479,1.343,0.0279,4.476,Miltoncostaea marina_genome.fna
Canonical intramolecular G4,92,24.783,1.025,0.0273,0.065,Miltoncostaea marina_genome.fna
i-Motif_G-Quadruplex_Overlap,86,40.779,1.414,0.0255,0.101,Miltoncostaea marina_genome.fna
R-Loop_G-Quadruplex_Overlap,73,1702.603,1.85,0.0217,3.686,Miltoncostaea marina_genome.fna
i-Motif_A-philic_DNA_Overlap,66,33.864,1.43,0.0196,0.064,Miltoncostaea marina_genome.fna
Cruciform_i-Motif_Overlap,63,40.413,1.506,0.0187,0.074,Miltoncostaea marina_genome.fna
A-philic_DNA_i-Motif_Overlap,63,35.365,1.432,0.0187,0.064,Miltoncostaea marina_genome.fna
i-Motif_Cruciform_Overlap,48,39.083,1.461,0.0142,0.054,Miltoncostaea marina_genome.fna
i-Motif_R-Loop_Overlap,37,1695.243,2.268,0.011,1.86,Miltoncostaea marina_genome.fna
Cruciform_R-Loop_Overlap,35,1553.743,1.843,0.0104,1.613,Miltoncostaea marina_genome.fna
R-Loop_i-Motif_Overlap,28,1717.643,2.254,0.0083,1.426,Miltoncostaea marina_genome.fna
R-Loop_A-philic_DNA_Overlap,28,1576.393,1.811,0.0083,1.309,Miltoncostaea marina_genome.fna
G-Quadruplex_Slipped_DNA_Overlap,21,42.524,1.053,0.0062,0.026,Miltoncostaea marina_genome.fna
STR,20,24.55,1.032,0.0059,0.014,Miltoncostaea marina_genome.fna
Slipped_DNA_G-Quadruplex_Overlap,20,53.45,1.065,0.0059,0.031,Miltoncostaea marina_genome.fna
Cruciform_A-philic_DNA_Overlap,19,28.053,1.118,0.0056,0.015,Miltoncostaea marina_genome.fna
A-philic_DNA_Cruciform_Overlap,19,28.526,1.116,0.0056,0.016,Miltoncostaea marina_genome.fna
A-philic_DNA_R-Loop_Overlap,18,1597.222,1.821,0.0053,0.853,Miltoncostaea marina_genome.fna
R-Loop_Cruciform_Overlap,18,1721.333,1.939,0.0053,0.919,Miltoncostaea marina_genome.fna
Slipped_DNA_i-Motif_Overlap,17,43.294,1.507,0.005,0.021,Miltoncostaea marina_genome.fna
Slipped_DNA_Cruciform_Overlap,8,26.875,1.093,0.0024,0.006,Miltoncostaea marina_genome.fna
i-Motif_Slipped_DNA_Overlap,8,42.75,1.521,0.0024,0.01,Miltoncostaea marina_genome.fna
Z-DNA_R-Loop_Overlap,6,1438.5,1.749,0.0018,0.256,Miltoncostaea marina_genome.fna
R-Loop_Z-DNA_Overlap,6,1648.667,1.854,0.0018,0.293,Miltoncostaea marina_genome.fna
Global Curvature,3,24.0,1.198,0.0009,0.002,Miltoncostaea marina_genome.fna
Z-DNA_Slipped_DNA_Overlap,3,26.333,1.026,0.0009,0.002,Miltoncostaea marina_genome.fna
Triplex,2,24.5,1.182,0.0006,0.001,Miltoncostaea marina_genome.fna
AC-motif,2,28.5,1.95,0.0006,0.002,Miltoncostaea marina_genome.fna
Slipped_DNA_A-philic_DNA_Overlap,2,32.0,1.076,0.0006,0.002,Miltoncostaea marina_genome.fna
A-philic_DNA_Slipped_DNA_Overlap,2,78.0,1.103,0.0006,0.005,Miltoncostaea marina_genome.fna
R-Loop_Slipped_DNA_Overlap,2,978.0,1.504,0.0006,0.058,Miltoncostaea marina_genome.fna
Cruciform_Slipped_DNA_Overlap,2,31.5,1.14,0.0006,0.002,Miltoncostaea marina_genome.fna
Higher-order G4 array/G4-wire,2,38.5,1.098,0.0006,0.002,Miltoncostaea marina_genome.fna
Slipped_DNA_Z-DNA_Overlap,1,21.0,1.079,0.0003,0.001,Miltoncostaea marina_genome.fna
Sticky DNA,1,12.0,1.005,0.0003,0.0,Miltoncostaea marina_genome.fna
Triplex_Slipped_DNA_Overlap,1,28.0,1.11,0.0003,0.001,Miltoncostaea marina_genome.fna
R-Loop_Triplex_Overlap,1,1970.0,2.083,0.0003,0.058,Miltoncostaea marina_genome.fna
Mixed_Cluster_7_classes,1,2225.0,1.381,0.0003,0.066,Miltoncostaea marina_genome.fna
Local Curvature,6350,9.896,1.217,0.5223,0.465,Saccharomyces cerevisiae_genome.fna
Two-tetrad weak PQS,4745,20.946,1.004,0.3903,0.779,Saccharomyces cerevisiae_genome.fna
Cruciform forming IRs,2632,23.435,1.046,0.2165,0.486,Saccharomyces cerevisiae_genome.fna
Global Curvature,2090,25.581,1.242,0.1719,0.423,Saccharomyces cerevisiae_genome.fna
R-loop formation sites,904,34.832,1.025,0.0744,0.252,Saccharomyces cerevisiae_genome.fna
STR,624,25.934,1.038,0.0513,0.128,Saccharomyces cerevisiae_genome.fna
Direct Repeat,587,34.29,1.076,0.0483,0.161,Saccharomyces cerevisiae_genome.fna
Triplex,440,24.823,1.252,0.0362,0.086,Saccharomyces cerevisiae_genome.fna
Mixed_Cluster_3_classes,410,210.249,1.158,0.0337,0.692,Saccharomyces cerevisiae_genome.fna
A-philic DNA,239,10.728,1.06,0.0197,0.019,Saccharomyces cerevisiae_genome.fna
Mixed_Cluster_4_classes,229,237.061,1.145,0.0188,0.428,Saccharomyces cerevisiae_genome.fna
Sticky DNA,189,14.762,1.008,0.0155,0.021,Saccharomyces cerevisiae_genome.fna
Relaxed i-motif,137,35.058,1.733,0.0113,0.038,Saccharomyces cerevisiae_genome.fna
Intramolecular G-triplex,137,17.285,1.011,0.0113,0.018,Saccharomyces cerevisiae_genome.fna
Z-DNA,105,10.886,1.04,0.0086,0.009,Saccharomyces cerevisiae_genome.fna
Bulged G4,80,31.375,1.039,0.0066,0.02,Saccharomyces cerevisiae_genome.fna
Mixed_Cluster_5_classes,53,265.094,1.11,0.0044,0.109,Saccharomyces cerevisiae_genome.fna
Extended-loop canonical,52,35.942,1.052,0.0043,0.015,Saccharomyces cerevisiae_genome.fna
A-philic_DNA_G-Quadruplex_Overlap,40,22.3,1.035,0.0033,0.007,Saccharomyces cerevisiae_genome.fna
Triplex_Curved_DNA_Overlap,39,28.436,1.261,0.0032,0.009,Saccharomyces cerevisiae_genome.fna
Curved_DNA_Triplex_Overlap,31,28.677,1.259,0.0025,0.007,Saccharomyces cerevisiae_genome.fna
Slipped_DNA_G-Quadruplex_Overlap,27,37.333,1.046,0.0022,0.008,Saccharomyces cerevisiae_genome.fna
Slipped_DNA_Triplex_Overlap,25,31.24,1.126,0.0021,0.006,Saccharomyces cerevisiae_genome.fna
Cruciform_Curved_DNA_Overlap,24,26.0,1.13,0.002,0.005,Saccharomyces cerevisiae_genome.fna
Canonical i-motif,23,24.0,1.554,0.0019,0.004,Saccharomyces cerevisiae_genome.fna
Slipped_DNA_Cruciform_Overlap,22,31.409,1.043,0.0018,0.006,Saccharomyces cerevisiae_genome.fna
Curved_DNA_Cruciform_Overlap,20,30.8,1.162,0.0016,0.005,Saccharomyces cerevisiae_genome.fna
G-Quadruplex_i-Motif_Overlap,17,47.529,1.428,0.0014,0.006,Saccharomyces cerevisiae_genome.fna
Slipped_DNA_Curved_DNA_Overlap,16,31.25,1.173,0.0013,0.004,Saccharomyces cerevisiae_genome.fna
R-Loop_G-Quadruplex_Overlap,16,111.312,1.066,0.0013,0.015,Saccharomyces cerevisiae_genome.fna
G-Quadruplex_Slipped_DNA_Overlap,16,39.062,1.049,0.0013,0.005,Saccharomyces cerevisiae_genome.fna
Slipped_DNA_i-Motif_Overlap,16,44.125,1.485,0.0013,0.006,Saccharomyces cerevisiae_genome.fna
Curved_DNA_Slipped_DNA_Overlap,15,26.133,1.147,0.0012,0.003,Saccharomyces cerevisiae_genome.fna
i-Motif_Slipped_DNA_Overlap,14,44.286,1.464,0.0012,0.005,Saccharomyces cerevisiae_genome.fna
Cruciform_Slipped_DNA_Overlap,11,34.364,1.049,0.0009,0.003,Saccharomyces cerevisiae_genome.fna
Mixed_Cluster_6_classes,10,215.6,1.141,0.0008,0.017,Saccharomyces cerevisiae_genome.fna
G-Quadruplex_R-Loop_Overlap,10,55.0,1.022,0.0008,0.004,Saccharomyces cerevisiae_genome.fna
Cruciform_G-Quadruplex_Overlap,9,26.333,1.038,0.0007,0.002,Saccharomyces cerevisiae_genome.fna
R-Loop_A-philic_DNA_Overlap,8,104.125,1.089,0.0007,0.007,Saccharomyces cerevisiae_genome.fna
G-Quadruplex_Cruciform_Overlap,8,30.75,1.034,0.0007,0.002,Saccharomyces cerevisiae_genome.fna
i-Motif_G-Quadruplex_Overlap,8,48.5,1.465,0.0007,0.003,Saccharomyces cerevisiae_genome.fna
Cruciform_R-Loop_Overlap,7,24.857,1.05,0.0006,0.001,Saccharomyces cerevisiae_genome.fna
Triplex_Slipped_DNA_Overlap,7,36.429,1.128,0.0006,0.002,Saccharomyces cerevisiae_genome.fna
R-Loop_i-Motif_Overlap,6,208.333,1.545,0.0005,0.01,Saccharomyces cerevisiae_genome.fna
G-Quadruplex_A-philic_DNA_Overlap,6,19.667,1.037,0.0005,0.001,Saccharomyces cerevisiae_genome.fna
R-Loop_Cruciform_Overlap,5,23.8,1.062,0.0004,0.001,Saccharomyces cerevisiae_genome.fna
Canonical intramolecular G4,4,20.0,1.019,0.0003,0.001,Saccharomyces cerevisiae_genome.fna
Slipped_DNA_R-Loop_Overlap,4,272.25,1.157,0.0003,0.009,Saccharomyces cerevisiae_genome.fna
A-philic_DNA_R-Loop_Overlap,4,19.25,1.036,0.0003,0.001,Saccharomyces cerevisiae_genome.fna
R-Loop_Slipped_DNA_Overlap,3,181.333,1.121,0.0002,0.004,Saccharomyces cerevisiae_genome.fna
A-philic_DNA_i-Motif_Overlap,2,27.0,1.15,0.0002,0.0,Saccharomyces cerevisiae_genome.fna
i-Motif_R-Loop_Overlap,2,239.5,1.626,0.0002,0.004,Saccharomyces cerevisiae_genome.fna
i-Motif_A-philic_DNA_Overlap,2,36.5,1.339,0.0002,0.001,Saccharomyces cerevisiae_genome.fna
Curved_DNA_G-Quadruplex_Overlap,1,29.0,1.208,0.0001,0.0,Saccharomyces cerevisiae_genome.fna
eGZ,1,12.0,1.0,0.0001,0.0,Saccharomyces cerevisiae_genome.fna
Z-DNA_Slipped_DNA_Overlap,1,21.0,1.014,0.0001,0.0,Saccharomyces cerevisiae_genome.fna
Triplex_G-Quadruplex_Overlap,1,26.0,1.114,0.0001,0.0,Saccharomyces cerevisiae_genome.fna
G-Quadruplex_Curved_DNA_Overlap,1,26.0,1.099,0.0001,0.0,Saccharomyces cerevisiae_genome.fna
Cruciform_A-philic_DNA_Overlap,1,26.0,1.082,0.0001,0.0,Saccharomyces cerevisiae_genome.fna
G-Quadruplex_Triplex_Overlap,1,28.0,1.156,0.0001,0.0,Saccharomyces cerevisiae_genome.fna
Triplex_Cruciform_Overlap,1,31.0,1.024,0.0001,0.0,Saccharomyces cerevisiae_genome.fna
AC-motif,1,30.0,2.0,0.0001,0.0,Saccharomyces cerevisiae_genome.fna
Cruciform_i-Motif_Overlap,1,40.0,1.485,0.0001,0.0,Saccharomyces cerevisiae_genome.fna
Mixed_Cluster_7_classes,1,280.0,1.085,0.0001,0.002,Saccharomyces cerevisiae_genome.fna
R-Loop_Triplex_Overlap,1,38.0,1.125,0.0001,0.0,Saccharomyces cerevisiae_genome.fna
i-Motif_Triplex_Overlap,1,38.0,1.343,0.0001,0.0,Saccharomyces cerevisiae_genome.fna
Local Curvature,86188,12.937,1.324,3.6938,4.409,Plasmodium falciparum_genome.fna
STR,41513,27.898,1.043,1.7792,4.786,Plasmodium falciparum_genome.fna
Cruciform forming IRs,33589,29.559,1.076,1.4396,4.111,Plasmodium falciparum_genome.fna
Mixed_Cluster_3_classes,24952,241.344,1.217,1.0694,23.924,Plasmodium falciparum_genome.fna
Triplex,20428,26.661,1.277,0.8755,2.247,Plasmodium falciparum_genome.fna
Mixed_Cluster_4_classes,14904,252.936,1.243,0.6388,14.93,Plasmodium falciparum_genome.fna
Direct Repeat,14520,40.402,1.092,0.6223,2.452,Plasmodium falciparum_genome.fna
Global Curvature,6371,26.557,1.245,0.273,0.698,Plasmodium falciparum_genome.fna
Slipped_DNA_Cruciform_Overlap,2591,35.821,1.072,0.111,0.387,Plasmodium falciparum_genome.fna
Curved_DNA_Triplex_Overlap,1565,32.283,1.293,0.0671,0.21,Plasmodium falciparum_genome.fna
Triplex_Curved_DNA_Overlap,1525,31.953,1.295,0.0654,0.202,Plasmodium falciparum_genome.fna
Two-tetrad weak PQS,1149,20.517,1.005,0.0492,0.096,Plasmodium falciparum_genome.fna
Slipped_DNA_Triplex_Overlap,1038,38.136,1.173,0.0445,0.165,Plasmodium falciparum_genome.fna
Relaxed i-motif,701,41.775,1.999,0.03,0.123,Plasmodium falciparum_genome.fna
Curved_DNA_Slipped_DNA_Overlap,661,33.855,1.175,0.0283,0.093,Plasmodium falciparum_genome.fna
Slipped_DNA_Curved_DNA_Overlap,640,34.4,1.181,0.0274,0.092,Plasmodium falciparum_genome.fna
Cruciform_Slipped_DNA_Overlap,557,41.043,1.065,0.0239,0.096,Plasmodium falciparum_genome.fna
Cruciform_Curved_DNA_Overlap,529,31.371,1.19,0.0227,0.069,Plasmodium falciparum_genome.fna
Curved_DNA_Cruciform_Overlap,528,31.688,1.2,0.0226,0.069,Plasmodium falciparum_genome.fna
R-loop formation sites,518,104.653,1.093,0.0222,0.23,Plasmodium falciparum_genome.fna
Sticky DNA,491,14.615,1.008,0.021,0.029,Plasmodium falciparum_genome.fna
Triplex_Slipped_DNA_Overlap,321,42.975,1.182,0.0138,0.058,Plasmodium falciparum_genome.fna
Mixed_Cluster_5_classes,281,266.278,1.205,0.012,0.306,Plasmodium falciparum_genome.fna
A-philic DNA,230,10.835,1.068,0.0099,0.01,Plasmodium falciparum_genome.fna
i-Motif_Slipped_DNA_Overlap,189,55.614,1.569,0.0081,0.043,Plasmodium falciparum_genome.fna
Slipped_DNA_i-Motif_Overlap,178,55.129,1.567,0.0076,0.04,Plasmodium falciparum_genome.fna
Extended-loop canonical,101,39.109,1.042,0.0043,0.016,Plasmodium falciparum_genome.fna
Intramolecular G-triplex,98,16.551,1.012,0.0042,0.007,Plasmodium falciparum_genome.fna
Higher-order G4 array/G4-wire,91,119.89,1.705,0.0039,0.046,Plasmodium falciparum_genome.fna
Cruciform_Triplex_Overlap,87,39.563,1.182,0.0037,0.014,Plasmodium falciparum_genome.fna
Slipped_DNA_G-Quadruplex_Overlap,84,86.762,1.237,0.0036,0.031,Plasmodium falciparum_genome.fna
Triplex_Cruciform_Overlap,84,42.262,1.183,0.0036,0.015,Plasmodium falciparum_genome.fna
Mixed_Cluster_6_classes,80,291.85,1.212,0.0034,0.096,Plasmodium falciparum_genome.fna
Bulged G4,55,32.873,1.041,0.0024,0.008,Plasmodium falciparum_genome.fna
i-Motif_G-Quadruplex_Overlap,45,126.111,1.775,0.0019,0.024,Plasmodium falciparum_genome.fna
G-Quadruplex_Slipped_DNA_Overlap,38,104.342,1.235,0.0016,0.017,Plasmodium falciparum_genome.fna
Canonical i-motif,36,26.306,1.538,0.0015,0.004,Plasmodium falciparum_genome.fna
G-Quadruplex_i-Motif_Overlap,36,80.083,1.527,0.0015,0.012,Plasmodium falciparum_genome.fna
Slipped_DNA_R-Loop_Overlap,21,565.381,1.299,0.0009,0.051,Plasmodium falciparum_genome.fna
i-Motif_R-Loop_Overlap,18,875.389,1.925,0.0008,0.067,Plasmodium falciparum_genome.fna
R-Loop_i-Motif_Overlap,17,778.471,1.849,0.0007,0.057,Plasmodium falciparum_genome.fna
R-Loop_G-Quadruplex_Overlap,11,611.727,1.506,0.0005,0.029,Plasmodium falciparum_genome.fna
Mixed_Cluster_7_classes,11,277.0,1.207,0.0005,0.012,Plasmodium falciparum_genome.fna
G-Quadruplex_R-Loop_Overlap,10,874.1,1.583,0.0004,0.037,Plasmodium falciparum_genome.fna
R-Loop_Slipped_DNA_Overlap,9,839.333,1.409,0.0004,0.032,Plasmodium falciparum_genome.fna
A-philic_DNA_G-Quadruplex_Overlap,9,18.556,1.047,0.0004,0.001,Plasmodium falciparum_genome.fna
A-philic_DNA_R-Loop_Overlap,8,18.625,1.042,0.0003,0.001,Plasmodium falciparum_genome.fna
G-Quadruplex_A-philic_DNA_Overlap,7,19.143,1.036,0.0003,0.001,Plasmodium falciparum_genome.fna
AC-motif,6,27.5,1.879,0.0003,0.001,Plasmodium falciparum_genome.fna
Canonical intramolecular G4,5,20.6,1.025,0.0002,0.0,Plasmodium falciparum_genome.fna
R-Loop_A-philic_DNA_Overlap,4,390.25,1.227,0.0002,0.007,Plasmodium falciparum_genome.fna
Triplex_R-Loop_Overlap,3,26.333,1.142,0.0001,0.0,Plasmodium falciparum_genome.fna
Z-DNA,2,12.0,1.047,0.0001,0.0,Plasmodium falciparum_genome.fna
A-philic_DNA_i-Motif_Overlap,2,26.0,1.281,0.0001,0.0,Plasmodium falciparum_genome.fna
i-Motif_Triplex_Overlap,2,47.5,1.648,0.0001,0.0,Plasmodium falciparum_genome.fna
Mixed_Cluster_8_classes,2,242.5,1.214,0.0001,0.002,Plasmodium falciparum_genome.fna
G-Quadruplex_Triplex_Overlap,2,47.5,1.208,0.0001,0.0,Plasmodium falciparum_genome.fna
Triplex_G-Quadruplex_Overlap,1,47.0,1.172,0.0,0.0,Plasmodium falciparum_genome.fna
Cruciform_G-Quadruplex_Overlap,1,41.0,1.026,0.0,0.0,Plasmodium falciparum_genome.fna
Triplex_i-Motif_Overlap,1,27.0,1.54,0.0,0.0,Plasmodium falciparum_genome.fna
Curved_DNA_i-Motif_Overlap,1,38.0,1.73,0.0,0.0,Plasmodium falciparum_genome.fna
i-Motif_A-philic_DNA_Overlap,1,28.0,1.292,0.0,0.0,Plasmodium falciparum_genome.fna
G-Quadruplex_Cruciform_Overlap,1,28.0,1.023,0.0,0.0,Plasmodium falciparum_genome.fna
R-Loop_Triplex_Overlap,1,51.0,1.233,0.0,0.0,Plasmodium falciparum_genome.fna
Stacked G4,1,55.0,1.146,0.0,0.0,Plasmodium falciparum_genome.fna
Cruciform forming IRs,71167,19.735,1.035,1.1841,2.218,Homo_sapiens_centromere_unique.fasta
Two-tetrad weak PQS,33386,21.482,1.0,0.5555,1.138,Homo_sapiens_centromere_unique.fasta
Local Curvature,2490,9.124,1.192,0.0414,0.034,Homo_sapiens_centromere_unique.fasta
Global Curvature,2437,25.011,1.208,0.0405,0.097,Homo_sapiens_centromere_unique.fasta
Mixed_Cluster_3_classes,1878,287.332,1.123,0.0312,0.892,Homo_sapiens_centromere_unique.fasta
Direct Repeat,762,25.982,1.055,0.0127,0.032,Homo_sapiens_centromere_unique.fasta
R-loop formation sites,628,210.252,1.199,0.0104,0.219,Homo_sapiens_centromere_unique.fasta
STR,535,25.753,1.036,0.0089,0.022,Homo_sapiens_centromere_unique.fasta
Triplex,272,27.04,1.273,0.0045,0.012,Homo_sapiens_centromere_unique.fasta
Canonical i-motif,186,23.79,1.722,0.0031,0.007,Homo_sapiens_centromere_unique.fasta
Relaxed i-motif,182,33.967,1.84,0.003,0.01,Homo_sapiens_centromere_unique.fasta
Intramolecular G-triplex,175,16.88,1.014,0.0029,0.005,Homo_sapiens_centromere_unique.fasta
Mixed_Cluster_4_classes,164,423.305,1.264,0.0027,0.114,Homo_sapiens_centromere_unique.fasta
Extended-loop canonical,99,37.859,1.092,0.0016,0.006,Homo_sapiens_centromere_unique.fasta
Bulged G4,97,32.784,1.053,0.0016,0.005,Homo_sapiens_centromere_unique.fasta
A-philic DNA,82,10.671,1.053,0.0014,0.001,Homo_sapiens_centromere_unique.fasta
Mixed_Cluster_5_classes,56,406.304,1.259,0.0009,0.038,Homo_sapiens_centromere_unique.fasta
Slipped_DNA_G-Quadruplex_Overlap,42,28.238,1.02,0.0007,0.002,Homo_sapiens_centromere_unique.fasta
G-Quadruplex_Slipped_DNA_Overlap,30,30.833,1.023,0.0005,0.001,Homo_sapiens_centromere_unique.fasta
Curved_DNA_G-Quadruplex_Overlap,27,28.0,1.054,0.0004,0.001,Homo_sapiens_centromere_unique.fasta
Canonical intramolecular G4,24,23.458,1.03,0.0004,0.001,Homo_sapiens_centromere_unique.fasta
Slipped_DNA_Triplex_Overlap,20,37.45,1.19,0.0003,0.001,Homo_sapiens_centromere_unique.fasta
Curved_DNA_Cruciform_Overlap,16,26.688,1.132,0.0003,0.001,Homo_sapiens_centromere_unique.fasta
Curved_DNA_Triplex_Overlap,14,28.0,1.251,0.0002,0.001,Homo_sapiens_centromere_unique.fasta
G-Quadruplex_i-Motif_Overlap,14,46.214,1.513,0.0002,0.001,Homo_sapiens_centromere_unique.fasta
Triplex_Curved_DNA_Overlap,12,28.167,1.264,0.0002,0.001,Homo_sapiens_centromere_unique.fasta
Mixed_Cluster_6_classes,11,516.909,1.285,0.0002,0.009,Homo_sapiens_centromere_unique.fasta
R-Loop_G-Quadruplex_Overlap,10,477.7,1.241,0.0002,0.008,Homo_sapiens_centromere_unique.fasta
G-Quadruplex_A-philic_DNA_Overlap,9,22.778,1.044,0.0001,0.0,Homo_sapiens_centromere_unique.fasta
Z-DNA,8,11.0,1.042,0.0001,0.0,Homo_sapiens_centromere_unique.fasta
i-Motif_A-philic_DNA_Overlap,8,33.625,1.448,0.0001,0.0,Homo_sapiens_centromere_unique.fasta
Triplex_i-Motif_Overlap,7,37.143,1.62,0.0001,0.0,Homo_sapiens_centromere_unique.fasta
R-Loop_i-Motif_Overlap,7,829.571,1.901,0.0001,0.01,Homo_sapiens_centromere_unique.fasta
G-Quadruplex_R-Loop_Overlap,6,268.333,1.139,0.0001,0.003,Homo_sapiens_centromere_unique.fasta
Triplex_Slipped_DNA_Overlap,6,34.167,1.166,0.0001,0.0,Homo_sapiens_centromere_unique.fasta
Triplex_G-Quadruplex_Overlap,6,47.0,1.236,0.0001,0.0,Homo_sapiens_centromere_unique.fasta
i-Motif_Triplex_Overlap,5,37.6,1.553,0.0001,0.0,Homo_sapiens_centromere_unique.fasta
Cruciform_G-Quadruplex_Overlap,5,32.0,1.032,0.0001,0.0,Homo_sapiens_centromere_unique.fasta
i-Motif_G-Quadruplex_Overlap,4,42.5,1.426,0.0001,0.0,Homo_sapiens_centromere_unique.fasta
G-Quadruplex_Triplex_Overlap,4,44.75,1.205,0.0001,0.0,Homo_sapiens_centromere_unique.fasta
i-Motif_R-Loop_Overlap,4,1254.75,2.05,0.0001,0.008,Homo_sapiens_centromere_unique.fasta
Curved_DNA_Slipped_DNA_Overlap,4,29.5,1.142,0.0001,0.0,Homo_sapiens_centromere_unique.fasta
G-Quadruplex_Cruciform_Overlap,4,32.0,1.041,0.0001,0.0,Homo_sapiens_centromere_unique.fasta
Slipped_DNA_Cruciform_Overlap,4,43.25,1.137,0.0001,0.0,Homo_sapiens_centromere_unique.fasta
A-philic_DNA_G-Quadruplex_Overlap,3,26.667,1.063,0.0,0.0,Homo_sapiens_centromere_unique.fasta
eGZ,3,18.0,1.0,0.0,0.0,Homo_sapiens_centromere_unique.fasta
A-philic_DNA_R-Loop_Overlap,3,965.333,1.518,0.0,0.005,Homo_sapiens_centromere_unique.fasta
Slipped_DNA_Curved_DNA_Overlap,3,27.0,1.154,0.0,0.0,Homo_sapiens_centromere_unique.fasta
A-philic_DNA_i-Motif_Overlap,3,26.667,1.331,0.0,0.0,Homo_sapiens_centromere_unique.fasta
Slipped_DNA_i-Motif_Overlap,2,43.5,1.5,0.0,0.0,Homo_sapiens_centromere_unique.fasta
Sticky DNA,2,13.5,1.006,0.0,0.0,Homo_sapiens_centromere_unique.fasta
R-Loop_Slipped_DNA_Overlap,2,1344.5,1.704,0.0,0.004,Homo_sapiens_centromere_unique.fasta
Cruciform_R-Loop_Overlap,2,34.5,1.038,0.0,0.0,Homo_sapiens_centromere_unique.fasta
Cruciform_Slipped_DNA_Overlap,2,41.0,1.065,0.0,0.0,Homo_sapiens_centromere_unique.fasta
R-Loop_A-philic_DNA_Overlap,2,246.5,1.149,0.0,0.001,Homo_sapiens_centromere_unique.fasta
i-Motif_Slipped_DNA_Overlap,2,31.0,1.441,0.0,0.0,Homo_sapiens_centromere_unique.fasta
G-Quadruplex_Curved_DNA_Overlap,1,30.0,1.108,0.0,0.0,Homo_sapiens_centromere_unique.fasta
R-Loop_Curved_DNA_Overlap,1,30.0,1.103,0.0,0.0,Homo_sapiens_centromere_unique.fasta
A-philic_DNA_Slipped_DNA_Overlap,1,37.0,1.065,0.0,0.0,Homo_sapiens_centromere_unique.fasta
Cruciform_i-Motif_Overlap,1,29.0,1.401,0.0,0.0,Homo_sapiens_centromere_unique.fasta
Triplex_R-Loop_Overlap,1,1821.0,2.099,0.0,0.003,Homo_sapiens_centromere_unique.fasta
Slipped_DNA_R-Loop_Overlap,1,1825.0,1.93,0.0,0.003,Homo_sapiens_centromere_unique.fasta
R-Loop_Cruciform_Overlap,1,28.0,1.01,0.0,0.0,Homo_sapiens_centromere_unique.fasta
R-Loop_Triplex_Overlap,1,1829.0,2.115,0.0,0.003,Homo_sapiens_centromere_unique.fasta
Cruciform_Curved_DNA_Overlap,1,21.0,1.103,0.0,0.0,Homo_sapiens_centromere_unique.fasta
Two-tetrad weak PQS,4263630,19.937,1.007,1.3677,2.59,human_genome.fna
Local Curvature,1908499,11.853,1.285,0.6122,0.664,human_genome.fna
R-loop formation sites,1288549,239.766,1.229,0.4134,9.853,human_genome.fna
Cruciform forming IRs,1246759,23.755,1.055,0.4,0.91,human_genome.fna
STR,901341,27.695,1.04,0.2891,0.772,human_genome.fna
Mixed_Cluster_3_classes,603024,403.371,1.219,0.1934,7.617,human_genome.fna
Relaxed i-motif,461221,34.875,1.845,0.148,0.501,human_genome.fna
Triplex,460135,26.46,1.279,0.1476,0.376,human_genome.fna
Direct Repeat,459213,33.388,1.073,0.1473,0.477,human_genome.fna
Mixed_Cluster_4_classes,418411,386.69,1.252,0.1342,5.085,human_genome.fna
Global Curvature,418316,25.662,1.242,0.1342,0.331,human_genome.fna
Intramolecular G-triplex,345297,16.624,1.014,0.1108,0.173,human_genome.fna
Canonical i-motif,332115,24.749,1.725,0.1065,0.253,human_genome.fna
Extended-loop canonical,212859,36.725,1.068,0.0683,0.244,human_genome.fna
A-philic DNA,186035,10.844,1.059,0.0597,0.059,human_genome.fna
Bulged G4,164491,32.533,1.053,0.0528,0.166,human_genome.fna
Mixed_Cluster_5_classes,102874,457.342,1.257,0.033,1.488,human_genome.fna
Canonical intramolecular G4,53116,23.917,1.027,0.017,0.039,human_genome.fna
G-Quadruplex_i-Motif_Overlap,50940,47.05,1.48,0.0163,0.075,human_genome.fna
G-Quadruplex_Slipped_DNA_Overlap,50325,33.957,1.031,0.0161,0.053,human_genome.fna
Slipped_DNA_G-Quadruplex_Overlap,36988,37.218,1.04,0.0119,0.043,human_genome.fna
