Class,Count,Mean_Length,Mean_Score,Density_per_kb,Coverage_pct,Source_File
Triplex,4,24.25,1.164,0.001,0.002,Cellulomonas shaoxiangyii_genome.fna
G-Quadruplex,25107,22.473,1.012,7.4495,15.996,Miltoncostaea marina_genome.fna
Z-DNA,7835,11.718,1.051,2.3247,2.49,Miltoncostaea marina_genome.fna
Non-B_DNA_Clusters,5688,825.015,1.219,1.6877,74.558,Miltoncostaea marina_genome.fna
Cruciform,5207,22.981,1.121,1.545,3.396,Miltoncostaea marina_genome.fna
Hybrid,3067,262.236,1.253,0.91,19.023,Miltoncostaea marina_genome.fna
i-Motif,2222,32.185,1.803,0.6593,2.055,Miltoncostaea marina_genome.fna
A-philic_DNA,1954,10.884,1.052,0.5798,0.573,Miltoncostaea marina_genome.fna
R-Loop,1375,1651.396,2.64,0.408,67.031,Miltoncostaea marina_genome.fna
Slipped_DNA,134,33.896,1.074,0.0398,0.131,Miltoncostaea marina_genome.fna
Curved_DNA,3,24.0,1.198,0.0009,0.002,Miltoncostaea marina_genome.fna
Triplex,3,20.333,1.123,0.0009,0.002,Miltoncostaea marina_genome.fna
Curved_DNA,8440,13.78,1.223,0.6942,0.88,Saccharomyces cerevisiae_genome.fna
G-Quadruplex,5018,21.167,1.005,0.4128,0.832,Saccharomyces cerevisiae_genome.fna
Cruciform,2632,23.435,1.046,0.2165,0.486,Saccharomyces cerevisiae_genome.fna
Slipped_DNA,1211,29.984,1.056,0.0996,0.289,Saccharomyces cerevisiae_genome.fna
R-Loop,904,34.832,1.025,0.0744,0.252,Saccharomyces cerevisiae_genome.fna
Non-B_DNA_Clusters,703,223.293,1.15,0.0578,1.019,Saccharomyces cerevisiae_genome.fna
Triplex,629,21.8,1.179,0.0517,0.102,Saccharomyces cerevisiae_genome.fna
Hybrid,450,42.687,1.168,0.037,0.11,Saccharomyces cerevisiae_genome.fna
A-philic_DNA,239,10.728,1.06,0.0197,0.019,Saccharomyces cerevisiae_genome.fna
i-Motif,161,33.447,1.709,0.0132,0.043,Saccharomyces cerevisiae_genome.fna
Z-DNA,106,10.896,1.039,0.0087,0.009,Saccharomyces cerevisiae_genome.fna
Curved_DNA,92559,13.874,1.318,3.9669,5.032,Plasmodium falciparum_genome.fna
Slipped_DNA,56033,31.138,1.056,2.4015,7.237,Plasmodium falciparum_genome.fna
Non-B_DNA_Clusters,40230,245.923,1.227,1.7242,31.196,Plasmodium falciparum_genome.fna
Cruciform,33589,29.559,1.076,1.4396,4.111,Plasmodium falciparum_genome.fna
Triplex,20919,26.379,1.271,0.8965,2.266,Plasmodium falciparum_genome.fna
Hybrid,10826,42.456,1.202,0.464,1.342,Plasmodium falciparum_genome.fna
G-Quadruplex,1500,28.015,1.052,0.0643,0.174,Plasmodium falciparum_genome.fna
i-Motif,743,40.91,1.976,0.0318,0.127,Plasmodium falciparum_genome.fna
R-Loop,518,104.653,1.093,0.0222,0.23,Plasmodium falciparum_genome.fna
A-philic_DNA,230,10.835,1.068,0.0099,0.01,Plasmodium falciparum_genome.fna
Z-DNA,2,12.0,1.047,0.0001,0.0,Plasmodium falciparum_genome.fna
Cruciform,71167,19.735,1.035,1.1841,2.218,Homo_sapiens_centromere_unique.fasta
G-Quadruplex,33781,21.54,1.001,0.5621,1.154,Homo_sapiens_centromere_unique.fasta
Curved_DNA,4927,16.982,1.2,0.082,0.131,Homo_sapiens_centromere_unique.fasta
Non-B_DNA_Clusters,2109,302.262,1.138,0.0351,0.96,Homo_sapiens_centromere_unique.fasta
Slipped_DNA,1297,25.887,1.047,0.0216,0.054,Homo_sapiens_centromere_unique.fasta
R-Loop,628,210.252,1.199,0.0104,0.219,Homo_sapiens_centromere_unique.fasta
i-Motif,368,28.823,1.78,0.0061,0.017,Homo_sapiens_centromere_unique.fasta
Hybrid,301,123.718,1.216,0.005,0.051,Homo_sapiens_centromere_unique.fasta
Triplex,274,26.942,1.271,0.0046,0.012,Homo_sapiens_centromere_unique.fasta
A-philic_DNA,82,10.671,1.053,0.0014,0.001,Homo_sapiens_centromere_unique.fasta
Z-DNA,11,12.909,1.031,0.0002,0.0,Homo_sapiens_centromere_unique.fasta
G-Quadruplex,5041230,20.898,1.012,1.6172,3.218,human_genome.fna
Curved_DNA,2326815,14.336,1.277,0.7464,0.988,human_genome.fna
Slipped_DNA,1360554,29.616,1.051,0.4365,1.249,human_genome.fna
R-Loop,1288549,239.766,1.229,0.4134,9.853,human_genome.fna
Cruciform,1246759,23.755,1.055,0.4,0.91,human_genome.fna
Non-B_DNA_Clusters,1145942,405.356,1.236,0.3676,10.957,human_genome.fna
i-Motif,803387,30.582,1.796,0.2577,0.759,human_genome.fna
Hybrid,532143,172.456,1.278,0.1707,2.311,human_genome.fna
Triplex,474601,26.16,1.271,0.1522,0.38,human_genome.fna
A-philic_DNA,186035,10.844,1.059,0.0597,0.059,human_genome.fna
Z-DNA,38543,12.465,1.044,0.0124,0.014,human_genome.fna
